migsp,FIPS County Code,FIPS MCD Code,MIGCOUNTY,MIGSP Migration (3-digit) State Code,MIGPUMA
33,7,68500,Second College grant,33,100
33,7,68980,Shelburne town,33,100
33,7,73060,Stark town,33,100
33,7,73380,Stewartstown town,33,100
33,7,74180,Stratford town,33,100
33,7,74500,Success township,33,100
33,7,76580,Thompson and Meserves purchase,33,100
33,7,80740,Wentworth location,33,100
33,7,84420,Whitefield town,33,100
33,9,580,Alexandria town,33,100
33,9,2020,Ashland town,33,100
33,9,3940,Bath town,33,100
33,9,5060,Benton town,33,100
33,9,5460,Bethlehem town,33,100
33,9,7540,Bridgewater town,33,100
33,9,7700,Bristol town,33,100
33,9,8660,Campton town,33,100
33,9,8980,Canaan town,33,100
33,9,18740,Dorchester town,33,100
33,9,22020,Easton town,33,100
33,9,23860,Ellsworth town,33,100
33,9,24340,Enfield town,33,100
33,9,27300,Franconia town,33,100
33,9,30820,Grafton town,33,100
33,9,32180,Groton town,33,100
33,9,33860,Hanover town,33,100
33,9,34820,Haverhill town,33,100
33,9,35220,Hebron town,33,100
33,9,36900,Holderness town,33,100
33,9,40660,Landaff town,33,100
33,9,41300,Lebanon city,33,100
33,9,41860,Lincoln town,33,100
33,9,42020,Lisbon town,33,100
33,9,42580,Littleton town,33,100
33,9,42820,Livermore town,33,100
33,9,44100,Lyman town,33,100
33,9,44260,Lyme town,33,100
33,9,48980,Monroe town,33,100
33,9,58340,Orange town,33,100
33,9,58500,Orford town,33,100
33,9,61060,Piermont town,33,100
33,9,62660,Plymouth town,33,100
33,9,65940,Rumney town,33,100
33,9,74740,Sugar Hill town,33,100
33,9,76740,Thornton town,33,100
33,9,78740,Warren town,33,100
33,9,79380,Waterville Valley town,33,100
33,9,80500,Wentworth town,33,100
33,9,87060,Woodstock town,33,100
33,11,1300,Amherst town,33,290
33,11,1700,Antrim town,33,290
33,11,4500,Bedford town,33,290
33,11,4900,Bennington town,33,290
33,11,8100,Brookline town,33,290
33,11,17780,Deering town,33,290
33,11,27140,Francestown town,33,290
33,11,29860,Goffstown town,33,290
33,11,31540,Greenfield town,33,290
33,11,31940,Greenville town,33,290
33,11,33700,Hancock town,33,290
33,11,36180,Hillsborough town,33,290
33,11,37140,Hollis town,33,290
33,11,37940,Hudson town,33,290
33,11,42260,Litchfield town,33,290
33,11,44580,Lyndeborough town,33,290
33,11,45140,Manchester city,33,290
33,11,46260,Mason town,33,290
33,11,47540,Merrimack town,33,290
33,11,48020,Milford town,33,290
33,11,49140,Mont Vernon town,33,290
33,11,50260,Nashua city,33,290
33,11,50740,New Boston town,33,290
33,11,51940,New Ipswich town,33,290
33,11,59940,Pelham town,33,290
33,11,60580,Peterborough town,33,290
33,11,68820,Sharon town,33,290
33,11,76260,Temple town,33,290
33,11,79780,Weare town,33,290
33,11,85220,Wilton town,33,290
33,11,85940,Windsor town,33,290
33,13,660,Allenstown town,33,290
33,13,1460,Andover town,33,290
33,13,6260,Boscawen town,33,290
33,13,6500,Bow town,33,290
33,13,6980,Bradford town,33,290
33,13,9860,Canterbury town,33,290
33,13,12420,Chichester town,33,290
33,13,14200,Concord city,33,290
33,13,16980,Danbury town,33,290
33,13,19460,Dunbarton town,33,290
33,13,24900,Epsom town,33,290
33,13,27380,Franklin city,33,290
33,13,35540,Henniker town,33,290
33,13,35860,Hill town,33,290
33,13,37300,Hooksett town,33,290
33,13,37540,Hopkinton town,33,290
,,,,,
33,13,50900,Newbury town,33,290
33,13,52100,New London town,33,290
33,13,54260,Northfield town,33,290
33,13,60020,Pembroke town,33,290
33,13,61940,Pittsfield town,33,290
33,13,66980,Salisbury town,33,290
33,13,75460,Sutton town,33,290
33,13,78580,Warner town,33,290
33,13,80020,Webster town,33,290
33,13,84900,Wilmot town,33,290
33,15,2340,Atkinson town,33,290
33,15,2820,Auburn town,33,290
33,15,7220,Brentwood town,33,290
33,15,9300,Candia town,33,290
33,15,12100,Chester town,33,290
33,15,17140,Danville town,33,290
33,15,17460,Deerfield town,33,290
33,15,17940,Derry town,33,290
33,15,21380,East Kingston town,33,290
33,15,24660,Epping town,33,290
33,15,25380,Exeter town,33,290
33,15,27940,Fremont town,33,290
33,15,31700,Greenland town,33,290
33,15,32900,Hampstead town,33,290
33,15,33060,Hampton town,33,290
33,15,33460,Hampton Falls town,33,290
33,15,39780,Kensington town,33,290
33,15,40100,Kingston town,33,290
33,15,43220,Londonderry town,33,290
33,15,50980,New Castle town,33,290
33,15,51380,Newfields town,33,290
33,15,51620,Newington town,33,290
33,15,52340,Newmarket town,33,290
33,15,52900,Newton town,33,290
33,15,54580,North Hampton town,33,290
33,15,56820,Northwood town,33,290
33,15,57460,Nottingham town,33,290
33,15,62500,Plaistow town,33,290
33,15,62900,Portsmouth city,33,290
33,15,64020,Raymond town,33,290
33,15,66180,Rye town,33,290
33,15,66660,Salem town,33,290
33,15,67620,Sandown town,33,290
33,15,68260,Seabrook town,33,290
33,15,71140,South Hampton town,33,290
33,15,74340,Stratham town,33,290
33,15,85780,Windham town,33,290
33,17,3460,Barrington town,33,290
33,17,18820,Dover city,33,290
33,17,19700,Durham town,33,290
33,17,26020,Farmington town,33,290
33,17,41460,Lee town,33,290
33,17,44820,Madbury town,33,290
33,17,47700,Middleton town,33,290
33,17,48660,Milton town,33,290
33,17,51220,New Durham town,33,290
33,17,65140,Rochester city,33,290
33,17,65540,Rollinsford town,33,290
33,17,69940,Somersworth city,33,290
33,17,73860,Strafford town,33,290
33,19,260,Acworth town,33,500
33,19,11380,Charlestown town,33,500
33,19,12900,Claremont city,33,500
33,19,15060,Cornish town,33,500
33,19,16340,Croydon town,33,500
33,19,30500,Goshen town,33,500
33,19,31220,Grantham town,33,500
33,19,40900,Langdon town,33,500
33,19,41700,Lempster town,33,500
33,19,52580,Newport town,33,500
33,19,62340,Plainfield town,33,500
33,19,72740,Springfield town,33,500
33,19,75060,Sunapee town,33,500
33,19,77940,Unity town,33,500
33,19,78980,Washington town,33,500
34,1,0,Atlantic County,34,190
34,3,0,Bergen County,34,300
34,5,0,Burlington County,34,2000
34,7,0,Camden County,34,2100
34,9,0,Cape May County,34,190
34,11,0,Cumberland County,34,2490
34,13,0,Essex County,34,1300
34,15,0,Gloucester County,34,2200
34,17,0,Hudson County,34,600
34,19,0,Hunterdon County,34,800
34,21,0,Mercer County,34,2300
34,23,0,Middlesex County,34,900
34,25,0,Monmouth County,34,1100
34,27,0,Morris County,34,1500
34,29,0,Ocean County,34,1200
34,31,0,Passaic County,34,400
34,33,0,Salem County,34,2490
34,35,0,Somerset County,34,1000
34,37,0,Sussex County,34,1600
34,39,0,Union County,34,1800
34,41,0,Warren County,34,1700
35,1,0,Bernalillo County,35,790
35,3,0,Catron County,35,900
35,5,0,Chaves County,35,1100
35,6,0,Cibola County,35,190
35,7,0,Colfax County,35,400
35,9,0,Curry County,35,400
35,11,0,De Baca County,35,400
35,13,0,Doña Ana County,35,1000
35,15,0,Eddy County,35,1200
35,17,0,Grant County,35,900
35,19,0,Guadalupe County,35,400
35,21,0,Harding County,35,400
35,23,0,Hidalgo County,35,900
35,25,0,Lea County,35,1200
35,27,0,Lincoln County,35,1100
35,28,0,Los Alamos County,35,300
35,29,0,Luna County,35,900
35,31,0,McKinley County,35,190
35,33,0,Mora County,35,300
35,35,0,Otero County,35,1100
35,37,0,Quay County,35,400
35,39,0,Rio Arriba County,35,300
35,41,0,Roosevelt County,35,400
35,43,0,Sandoval County,35,600
35,45,0,San Juan County,35,190
35,47,0,San Miguel County,35,300
35,49,0,Santa Fe County,35,500
35,51,0,Sierra County,35,900
35,53,0,Socorro County,35,900
35,55,0,Taos County,35,300
35,57,0,Torrance County,35,900
35,59,0,Union County,35,400
35,61,0,Valencia County,35,790
36,1,0,Albany County,36,2000
36,3,0,Allegany County,36,2500
36,5,0,Bronx County,36,3700
36,7,0,Broome County,36,2200
36,9,0,Cattaraugus County,36,2500
36,11,0,Cayuga County,36,700
36,13,0,Chautauqua County,36,2600
36,15,0,Chemung County,36,2400
36,17,0,Chenango County,36,2200
36,19,0,Clinton County,36,200
36,21,0,Columbia County,36,2100
36,23,0,Cortland County,36,1500
36,25,0,Delaware County,36,2200
36,27,0,Dutchess County,36,2800
36,29,0,Erie County,36,1200
36,31,0,Essex County,36,200
36,33,0,Franklin County,36,200
36,35,0,Fulton County,36,1600
36,37,0,Genesee County,36,1000
36,39,0,Greene County,36,2100
36,41,0,Hamilton County,36,200
36,43,0,Herkimer County,36,400
36,45,0,Jefferson County,36,500
36,47,0,Kings County,36,4000
36,49,0,Lewis County,36,500
36,51,0,Livingston County,36,1300
36,53,0,Madison County,36,1500
36,55,0,Monroe County,36,900
36,57,0,Montgomery County,36,1600
36,59,0,Nassau County,36,3200
36,61,0,New York County,36,3800
36,63,0,Niagara County,36,1100
36,65,0,Oneida County,36,400
36,67,0,Onondaga County,36,700
36,69,0,Ontario County,36,1400
36,71,0,Orange County,36,2900
36,73,0,Orleans County,36,1000
36,75,0,Oswego County,36,600
36,77,0,Otsego County,36,400
36,79,0,Putnam County,36,3100
36,81,0,Queens County,36,4100
36,83,0,Rensselaer County,36,1900
36,85,0,Richmond County,36,3900
36,87,0,Rockland County,36,3000
36,89,0,St. Lawrence County,36,100
36,91,0,Saratoga County,36,1800
36,93,0,Schenectady County,36,1700
36,95,0,Schoharie County,36,400
36,97,0,Schuyler County,36,2400
36,99,0,Seneca County,36,800
36,101,0,Steuben County,36,2400
36,103,0,Suffolk County,36,3300
36,105,0,Sullivan County,36,2700
36,107,0,Tioga County,36,2200
36,109,0,Tompkins County,36,2300
36,111,0,Ulster County,36,2700
36,113,0,Warren County,36,300
36,115,0,Washington County,36,300
36,117,0,Wayne County,36,800
36,119,0,Westchester County,36,3100
36,121,0,Wyoming County,36,1300
36,123,0,Yates County,36,1400
37,1,0,Alamance County,37,1600
37,3,0,Alexander County,37,2000
37,5,0,Alleghany County,37,200
37,7,0,Anson County,37,5390
37,9,0,Ashe County,37,100
37,11,0,Avery County,37,100
37,13,0,Beaufort County,37,4400
37,15,0,Bertie County,37,800
37,17,0,Bladen County,37,4990
37,19,0,Brunswick County,37,4800
37,21,0,Buncombe County,37,2200
37,23,0,Burke County,37,2100
37,25,0,Cabarrus County,37,3290
37,27,0,Caldwell County,37,2000
37,29,0,Camden County,37,700
37,31,0,Carteret County,37,4400
37,33,0,Caswell County,37,400
37,35,0,Catawba County,37,2800
37,37,0,Chatham County,37,1500
37,39,0,Cherokee County,37,2390
37,41,0,Chowan County,37,700
37,43,0,Clay County,37,2390
37,45,0,Cleveland County,37,2690
37,47,0,Columbus County,37,4990
37,49,0,Craven County,37,4300
37,51,0,Cumberland County,37,5000
37,53,0,Currituck County,37,700
37,55,0,Dare County,37,800
37,57,0,Davidson County,37,3500
37,59,0,Davie County,37,1990
37,61,0,Duplin County,37,3900
37,63,0,Durham County,37,1300
37,65,0,Edgecombe County,37,900
37,67,0,Forsyth County,37,1800
37,69,0,Franklin County,37,590
37,71,0,Gaston County,37,3000
37,73,0,Gates County,37,700
37,75,0,Graham County,37,2390
37,77,0,Granville County,37,400
37,79,0,Greene County,37,1000
37,81,0,Guilford County,37,1700
37,83,0,Halifax County,37,590
37,85,0,Harnett County,37,3800
37,87,0,Haywood County,37,2390
37,89,0,Henderson County,37,2500
37,91,0,Hertford County,37,590
37,93,0,Hoke County,37,5200
37,95,0,Hyde County,37,800
37,97,0,Iredell County,37,1990
37,99,0,Jackson County,37,2390
37,101,0,Johnston County,37,1100
37,103,0,Jones County,37,4190
37,105,0,Lee County,37,1500
37,107,0,Lenoir County,37,4190
37,109,0,Lincoln County,37,2690
37,111,0,McDowell County,37,2100
37,113,0,Macon County,37,2390
37,115,0,Madison County,37,2390
37,117,0,Martin County,37,800
37,119,0,Mecklenburg County,37,3100
37,121,0,Mitchell County,37,100
37,123,0,Montgomery County,37,3700
37,125,0,Moore County,37,3700
37,127,0,Nash County,37,900
37,129,0,New Hanover County,37,4690
37,131,0,Northampton County,37,590
37,133,0,Onslow County,37,4190
37,135,0,Orange County,37,1400
37,137,0,Pamlico County,37,4400
37,139,0,Pasquotank County,37,700
37,141,0,Pender County,37,4690
37,143,0,Perquimans County,37,700
37,145,0,Person County,37,400
37,147,0,Pitt County,37,4200
37,149,0,Polk County,37,2690
37,151,0,Randolph County,37,3600
37,153,0,Richmond County,37,5200
37,155,0,Robeson County,37,4990
37,157,0,Rockingham County,37,300
37,159,0,Rowan County,37,3400
37,161,0,Rutherford County,37,2690
37,163,0,Sampson County,37,3900
37,165,0,Scotland County,37,5200
37,167,0,Stanly County,37,3290
37,169,0,Stokes County,37,300
37,171,0,Surry County,37,200
37,173,0,Swain County,37,2390
37,175,0,Transylvania County,37,2500
37,177,0,Tyrrell County,37,800
37,179,0,Union County,37,5390
37,181,0,Vance County,37,590
37,183,0,Wake County,37,1200
37,185,0,Warren County,37,590
37,187,0,Washington County,37,800
37,189,0,Watauga County,37,100
37,191,0,Wayne County,37,4000
37,193,0,Wilkes County,37,200
37,195,0,Wilson County,37,1000
37,197,0,Yadkin County,37,1990
37,199,0,Yancey County,37,100
38,1,0,Adams County,38,100
38,3,0,Barnes County,38,200
38,5,0,Benson County,38,200
38,7,0,Billings County,38,100
38,9,0,Bottineau County,38,200
38,11,0,Bowman County,38,100
38,13,0,Burke County,38,100
38,15,0,Burleigh County,38,300
38,17,0,Cass County,38,500
38,19,0,Cavalier County,38,400
38,21,0,Dickey County,38,200
38,23,0,Divide County,38,100
38,25,0,Dunn County,38,100
38,27,0,Eddy County,38,200
38,29,0,Emmons County,38,300
38,31,0,Foster County,38,200
38,33,0,Golden Valley County,38,100
38,35,0,Grand Forks County,38,400
38,37,0,Grant County,38,100
38,39,0,Griggs County,38,400
38,41,0,Hettinger County,38,100
38,43,0,Kidder County,38,300
38,45,0,LaMoure County,38,200
38,47,0,Logan County,38,300
38,49,0,McHenry County,38,100
38,51,0,McIntosh County,38,300
38,53,0,McKenzie County,38,100
38,55,0,McLean County,38,100
38,57,0,Mercer County,38,100
38,59,0,Morton County,38,300
38,61,0,Mountrail County,38,100
38,63,0,Nelson County,38,200
38,65,0,Oliver County,38,100
38,67,0,Pembina County,38,400
38,69,0,Pierce County,38,200
38,71,0,Ramsey County,38,200
38,73,0,Ransom County,38,200
38,75,0,Renville County,38,100
38,77,0,Richland County,38,200
38,79,0,Rolette County,38,200
38,81,0,Sargent County,38,200
38,83,0,Sheridan County,38,200
38,85,0,Sioux County,38,100
38,87,0,Slope County,38,100
38,89,0,Stark County,38,100
38,91,0,Steele County,38,400
38,93,0,Stutsman County,38,200
38,95,0,Towner County,38,400
38,97,0,Traill County,38,400
38,99,0,Walsh County,38,400
38,101,0,Ward County,38,100
38,103,0,Wells County,38,200
38,105,0,Williams County,38,100
39,1,0,Adams County,39,5200
39,3,0,Allen County,39,2500
39,5,0,Ashland County,39,2100
39,7,0,Ashtabula County,39,1300
39,9,0,Athens County,39,5000
39,11,0,Auglaize County,39,2600
39,13,0,Belmont County,39,3500
39,15,0,Brown County,39,5690
39,17,0,Butler County,39,5400
39,19,0,Carroll County,39,3190
39,21,0,Champaign County,39,2700
39,23,0,Clark County,39,4300
39,25,0,Clermont County,39,5690
39,27,0,Clinton County,39,5200
39,29,0,Columbiana County,39,3400
39,31,0,Coshocton County,39,2900
39,33,0,Crawford County,39,2300
39,35,0,Cuyahoga County,39,900
39,37,0,Darke County,39,4500
39,39,0,Defiance County,39,100
39,41,0,Delaware County,39,4000
39,43,0,Erie County,39,700
39,45,0,Fairfield County,39,3900
